feature1,feature2,spearman_r,p_value
AL_154,AL_298,0.6432,0.0
AL_222,AL_280,0.6432,0.0
AL_222,AL_272,0.6432,0.0
AL_222,AL_276,0.6432,0.0
AL_212,AL_222,0.6432,0.0
AL_97,AL_255,0.6432,0.0
AL_222,AL_284,0.6432,0.0
AL_222,AL_236,0.6432,0.0
AL_222,AL_248,0.6432,0.0
AL_197,AL_222,0.6432,0.0
AL_222,AL_292,0.6432,0.0
AL_222,AL_233,0.6432,0.0
AL_191,AL_222,0.6432,0.0
AL_208,AL_222,0.6432,0.0
AL_222,AL_231,0.6432,0.0
AL_94,AL_181,0.6431,0.0
AL_175,AL_319,0.643,0.0
AL_91,AL_252,0.643,0.0
AL_259,AL_266,0.643,0.0
AL_190,AL_282,0.6429,0.0
AL_208,AL_228,0.6429,0.0
AL_97,AL_267,0.6429,0.0
AL_97,AL_269,0.6429,0.0
AL_97,AL_240,0.6429,0.0
AL_76,AL_291,0.6429,0.0
AL_190,AL_278,0.6429,0.0
AL_195,AL_228,0.6429,0.0
AL_197,AL_228,0.6429,0.0
AL_185,AL_203,0.6429,0.0
AL_97,AL_227,0.6429,0.0
AL_228,AL_272,0.6429,0.0
AL_228,AL_244,0.6429,0.0
AL_94,AL_130,0.6429,0.0
AL_199,AL_206,0.6429,0.0
AL_191,AL_228,0.6429,0.0
AL_85,AL_288,0.6429,0.0
AL_212,AL_228,0.6429,0.0
AL_228,AL_248,0.6429,0.0
AL_228,AL_284,0.6429,0.0
AL_220,AL_228,0.6429,0.0
AL_228,AL_256,0.6429,0.0
AL_228,AL_280,0.6429,0.0
AL_228,AL_263,0.6429,0.0
AL_97,AL_200,0.6429,0.0
AL_228,AL_276,0.6429,0.0
AL_228,AL_231,0.6429,0.0
AL_228,AL_236,0.6429,0.0
AL_97,AL_204,0.6429,0.0
AL_228,AL_233,0.6429,0.0
AL_228,AL_292,0.6429,0.0
AL_91,AL_194,0.6428,0.0
AL_88,AL_175,0.6428,0.0
AL_175,AL_323,0.6428,0.0
AL_133,AL_319,0.6428,0.0
AL_79,AL_181,0.6428,0.0
AL_79,AL_118,0.6427,0.0
AL_91,AL_211,0.6427,0.0
AL_91,AL_115,0.6427,0.0
AL_76,AL_172,0.6427,0.0
AL_91,AL_230,0.6427,0.0
AL_226,AL_286,0.6427,0.0
AL_203,AL_282,0.6426,0.0
AL_80,AL_207,0.6426,0.0
AL_193,AL_203,0.6426,0.0
AL_1,AL_33,0.6426,0.0
AL_80,AL_142,0.6426,0.0
AL_193,AL_211,0.6426,0.0
AL_188,AL_193,0.6425,0.0
AL_112,AL_311,0.6425,0.0
AL_278,AL_279,0.6425,0.0
AL_221,AL_269,0.6424,0.0
AL_80,AL_169,0.6424,0.0
AL_76,AL_90,0.6424,0.0
AL_88,AL_279,0.6424,0.0
AL_221,AL_240,0.6424,0.0
AL_221,AL_227,0.6424,0.0
AL_221,AL_267,0.6424,0.0
AL_204,AL_221,0.6424,0.0
AL_200,AL_221,0.6424,0.0
AL_43,AL_184,0.6423,0.0
AL_154,AL_323,0.6423,0.0
AL_259,AL_260,0.6423,0.0
AL_235,AL_259,0.6423,0.0
AL_94,AL_115,0.6422,0.0
AL_189,AL_267,0.6422,0.0
AL_88,AL_112,0.6422,0.0
AL_189,AL_269,0.6422,0.0
AL_76,AL_151,0.6422,0.0
AL_175,AL_302,0.6422,0.0
AL_189,AL_200,0.6422,0.0
AL_260,AL_270,0.6422,0.0
AL_189,AL_227,0.6422,0.0
AL_189,AL_204,0.6422,0.0
AL_189,AL_240,0.6422,0.0
AL_85,AL_266,0.6421,0.0
AL_5,AL_33,0.6421,0.0
AL_250,AL_271,0.6421,0.0
AL_82,AL_127,0.6421,0.0
AL_151,AL_298,0.6421,0.0
AL_91,AL_139,0.6421,0.0
AL_76,AL_199,0.642,0.0
AL_163,AL_319,0.642,0.0
AL_169,AL_323,0.642,0.0
AL_6,AL_33,0.6419,0.0
AL_95,AL_185,0.6419,0.0
AL_100,AL_302,0.6419,0.0
AL_169,AL_311,0.6419,0.0
AL_189,AL_219,0.6418,0.0
AL_80,AL_163,0.6418,0.0
AL_199,AL_265,0.6418,0.0
AL_230,AL_282,0.6418,0.0
AL_80,AL_166,0.6418,0.0
AL_97,AL_288,0.6417,0.0
AL_187,AL_271,0.6417,0.0
AL_265,AL_266,0.6417,0.0
AL_230,AL_259,0.6417,0.0
AL_86,AL_91,0.6417,0.0
AL_243,AL_265,0.6416,0.0
AL_207,AL_259,0.6416,0.0
AL_250,AL_279,0.6416,0.0
AL_204,AL_228,0.6415,0.0
AL_243,AL_259,0.6415,0.0
AL_228,AL_267,0.6415,0.0
AL_228,AL_240,0.6415,0.0
AL_228,AL_269,0.6415,0.0
AL_200,AL_228,0.6415,0.0
AL_76,AL_271,0.6415,0.0
AL_227,AL_228,0.6415,0.0
AL_88,AL_115,0.6415,0.0
AL_145,AL_302,0.6415,0.0
AL_265,AL_275,0.6414,0.0
AL_189,AL_262,0.6414,0.0
AL_46,AL_184,0.6414,0.0
AL_76,AL_98,0.6414,0.0
AL_189,AL_194,0.6414,0.0
AL_247,AL_278,0.6414,0.0
AL_187,AL_199,0.6413,0.0
AL_172,AL_319,0.6413,0.0
AL_76,AL_235,0.6413,0.0
AL_97,AL_103,0.6413,0.0
AL_237,AL_272,0.6412,0.0
AL_197,AL_237,0.6412,0.0
AL_115,AL_319,0.6412,0.0
AL_237,AL_284,0.6412,0.0
AL_94,AL_118,0.6412,0.0
AL_208,AL_237,0.6412,0.0
AL_231,AL_237,0.6412,0.0
AL_252,AL_265,0.6412,0.0
AL_220,AL_237,0.6412,0.0
AL_237,AL_263,0.6412,0.0
AL_212,AL_237,0.6412,0.0
AL_237,AL_256,0.6412,0.0
AL_237,AL_292,0.6412,0.0
AL_270,AL_283,0.6412,0.0
AL_139,AL_319,0.6412,0.0
AL_187,AL_266,0.6412,0.0
AL_237,AL_276,0.6412,0.0
AL_233,AL_237,0.6412,0.0
AL_237,AL_244,0.6412,0.0
AL_187,AL_230,0.6412,0.0
AL_237,AL_280,0.6412,0.0
AL_97,AL_136,0.6412,0.0
AL_191,AL_237,0.6412,0.0
AL_236,AL_237,0.6412,0.0
AL_237,AL_248,0.6412,0.0
AL_195,AL_237,0.6412,0.0
AL_97,AL_266,0.6411,0.0
AL_80,AL_133,0.6411,0.0
AL_185,AL_207,0.6411,0.0
AL_130,AL_302,0.6411,0.0
AL_188,AL_234,0.6411,0.0
AL_85,AL_287,0.6411,0.0
AL_270,AL_291,0.6411,0.0
AL_82,AL_239,0.641,0.0
AL_80,AL_109,0.641,0.0
AL_88,AL_190,0.641,0.0
AL_207,AL_278,0.641,0.0
AL_230,AL_234,0.641,0.0
AL_259,AL_291,0.641,0.0
AL_85,AL_151,0.641,0.0
AL_91,AL_219,0.641,0.0
AL_193,AL_275,0.641,0.0
AL_82,AL_115,0.641,0.0
AL_97,AL_178,0.641,0.0
AL_262,AL_270,0.6408,0.0
AL_82,AL_148,0.6408,0.0
AL_239,AL_278,0.6408,0.0
AL_91,AL_226,0.6407,0.0
AL_266,AL_286,0.6407,0.0
AL_80,AL_203,0.6407,0.0
AL_97,AL_121,0.6407,0.0
AL_85,AL_178,0.6406,0.0
AL_206,AL_219,0.6406,0.0
AL_94,AL_112,0.6406,0.0
AL_151,AL_319,0.6406,0.0
AL_76,AL_275,0.6406,0.0
AL_225,AL_226,0.6406,0.0
AL_91,AL_190,0.6405,0.0
AL_94,AL_142,0.6405,0.0
AL_166,AL_302,0.6405,0.0
AL_88,AL_271,0.6405,0.0
AL_85,AL_291,0.6405,0.0
AL_250,AL_255,0.6405,0.0
AL_262,AL_282,0.6404,0.0
AL_76,AL_112,0.6404,0.0
AL_239,AL_241,0.6404,0.0
AL_230,AL_250,0.6404,0.0
AL_85,AL_103,0.6404,0.0
AL_190,AL_250,0.6404,0.0
AL_268,AL_291,0.6404,0.0
AL_76,AL_219,0.6404,0.0
AL_121,AL_302,0.6403,0.0
AL_187,AL_279,0.6403,0.0
AL_91,AL_112,0.6403,0.0
AL_124,AL_319,0.6403,0.0
AL_85,AL_219,0.6403,0.0
AL_79,AL_98,0.6402,0.0
AL_193,AL_291,0.6402,0.0
AL_224,AL_278,0.6402,0.0
AL_219,AL_278,0.6402,0.0
AL_97,AL_252,0.6402,0.0
AL_112,AL_302,0.6402,0.0
AL_61,AL_184,0.6402,0.0
AL_82,AL_100,0.6402,0.0
AL_97,AL_247,0.6402,0.0
AL_236,AL_245,0.6401,0.0
AL_245,AL_272,0.6401,0.0
AL_231,AL_245,0.6401,0.0
AL_233,AL_245,0.6401,0.0
AL_191,AL_245,0.6401,0.0
AL_244,AL_245,0.6401,0.0
AL_245,AL_276,0.6401,0.0
AL_212,AL_245,0.6401,0.0
AL_245,AL_284,0.6401,0.0
AL_245,AL_263,0.6401,0.0
AL_197,AL_245,0.6401,0.0
AL_245,AL_248,0.6401,0.0
AL_245,AL_280,0.6401,0.0
AL_271,AL_278,0.6401,0.0
AL_245,AL_256,0.6401,0.0
AL_195,AL_245,0.6401,0.0
AL_245,AL_292,0.6401,0.0
AL_208,AL_245,0.6401,0.0
AL_220,AL_245,0.6401,0.0
AL_103,AL_315,0.64,0.0
AL_97,AL_188,0.64,0.0
AL_198,AL_227,0.6399,0.0
AL_278,AL_283,0.6399,0.0
AL_198,AL_267,0.6399,0.0
AL_237,AL_269,0.6399,0.0
AL_200,AL_237,0.6399,0.0
AL_198,AL_269,0.6399,0.0
AL_237,AL_267,0.6399,0.0
AL_227,AL_237,0.6399,0.0
AL_198,AL_200,0.6399,0.0
AL_237,AL_240,0.6399,0.0
AL_198,AL_204,0.6399,0.0
AL_94,AL_127,0.6399,0.0
AL_166,AL_315,0.6399,0.0
AL_204,AL_237,0.6399,0.0
AL_198,AL_240,0.6399,0.0
AL_279,AL_282,0.6399,0.0
AL_91,AL_157,0.6398,0.0
AL_71,AL_185,0.6398,0.0
AL_76,AL_181,0.6398,0.0
AL_189,AL_226,0.6398,0.0
AL_82,AL_181,0.6398,0.0
AL_222,AL_260,0.6397,0.0
AL_91,AL_199,0.6397,0.0
AL_169,AL_315,0.6397,0.0
AL_206,AL_235,0.6396,0.0
AL_88,AL_154,0.6396,0.0
AL_241,AL_262,0.6396,0.0
AL_199,AL_259,0.6396,0.0
AL_271,AL_282,0.6396,0.0
AL_76,AL_160,0.6396,0.0
AL_230,AL_278,0.6396,0.0
AL_198,AL_284,0.6395,0.0
AL_198,AL_280,0.6395,0.0
AL_191,AL_198,0.6395,0.0
AL_198,AL_292,0.6395,0.0
AL_85,AL_98,0.6395,0.0
AL_198,AL_220,0.6395,0.0
AL_198,AL_236,0.6395,0.0
AL_195,AL_198,0.6395,0.0
AL_198,AL_244,0.6395,0.0
AL_190,AL_206,0.6395,0.0
AL_198,AL_212,0.6395,0.0
AL_198,AL_248,0.6395,0.0
AL_250,AL_260,0.6395,0.0
AL_262,AL_274,0.6395,0.0
AL_198,AL_208,0.6395,0.0
AL_198,AL_233,0.6395,0.0
AL_198,AL_263,0.6395,0.0
AL_198,AL_276,0.6395,0.0
AL_198,AL_272,0.6395,0.0
AL_198,AL_231,0.6395,0.0
AL_197,AL_198,0.6395,0.0
AL_198,AL_256,0.6395,0.0
AL_248,AL_293,0.6394,0.0
AL_263,AL_293,0.6394,0.0
AL_236,AL_293,0.6394,0.0
AL_212,AL_293,0.6394,0.0
AL_94,AL_215,0.6394,0.0
AL_197,AL_293,0.6394,0.0
AL_280,AL_293,0.6394,0.0
AL_244,AL_293,0.6394,0.0
AL_208,AL_293,0.6394,0.0
AL_85,AL_226,0.6394,0.0
AL_44,AL_186,0.6394,0.0
AL_272,AL_293,0.6394,0.0
AL_233,AL_293,0.6394,0.0
AL_284,AL_293,0.6394,0.0
AL_195,AL_293,0.6394,0.0
AL_76,AL_211,0.6394,0.0
AL_231,AL_293,0.6394,0.0
AL_256,AL_293,0.6394,0.0
AL_76,AL_157,0.6394,0.0
AL_191,AL_293,0.6394,0.0
AL_86,AL_97,0.6394,0.0
AL_220,AL_293,0.6394,0.0
AL_199,AL_278,0.6394,0.0
AL_276,AL_293,0.6394,0.0
AL_292,AL_293,0.6394,0.0
AL_85,AL_283,0.6393,0.0
AL_85,AL_235,0.6393,0.0
AL_187,AL_283,0.6393,0.0
AL_80,AL_87,0.6393,0.0
AL_235,AL_270,0.6392,0.0
AL_211,AL_250,0.6392,0.0
AL_250,AL_262,0.6391,0.0
AL_255,AL_265,0.6391,0.0
AL_88,AL_275,0.639,0.0
AL_259,AL_283,0.639,0.0
AL_190,AL_210,0.6389,0.0
AL_91,AL_130,0.6389,0.0
AL_219,AL_234,0.6389,0.0
AL_82,AL_142,0.6389,0.0
AL_203,AL_234,0.6389,0.0
AL_199,AL_221,0.6389,0.0
AL_194,AL_210,0.6389,0.0
AL_249,AL_284,0.6388,0.0
AL_249,AL_280,0.6388,0.0
AL_76,AL_145,0.6388,0.0
AL_249,AL_292,0.6388,0.0
AL_80,AL_106,0.6388,0.0
AL_236,AL_249,0.6388,0.0
AL_220,AL_249,0.6388,0.0
AL_244,AL_249,0.6388,0.0
AL_181,AL_319,0.6388,0.0
AL_249,AL_272,0.6388,0.0
AL_197,AL_249,0.6388,0.0
AL_191,AL_249,0.6388,0.0
AL_231,AL_249,0.6388,0.0
AL_91,AL_291,0.6388,0.0
AL_208,AL_249,0.6388,0.0
AL_91,AL_235,0.6388,0.0
AL_249,AL_276,0.6388,0.0
AL_249,AL_263,0.6388,0.0
AL_233,AL_249,0.6388,0.0
AL_212,AL_249,0.6388,0.0
AL_187,AL_243,0.6388,0.0
AL_247,AL_250,0.6388,0.0
AL_249,AL_256,0.6388,0.0
AL_91,AL_154,0.6388,0.0
AL_106,AL_302,0.6388,0.0
AL_195,AL_249,0.6388,0.0
AL_248,AL_249,0.6388,0.0
AL_245,AL_267,0.6387,0.0
AL_240,AL_245,0.6387,0.0
AL_204,AL_245,0.6387,0.0
AL_227,AL_245,0.6387,0.0
AL_200,AL_245,0.6387,0.0
AL_245,AL_269,0.6387,0.0
AL_58,AL_184,0.6387,0.0
AL_172,AL_302,0.6387,0.0
AL_234,AL_243,0.6386,0.0
AL_210,AL_255,0.6386,0.0
AL_86,AL_88,0.6386,0.0
AL_160,AL_319,0.6386,0.0
AL_250,AL_288,0.6385,0.0
AL_82,AL_207,0.6385,0.0
AL_88,AL_98,0.6385,0.0
AL_194,AL_234,0.6385,0.0
AL_82,AL_203,0.6384,0.0
AL_94,AL_166,0.6384,0.0
AL_207,AL_250,0.6382,0.0
AL_88,AL_157,0.6382,0.0
AL_85,AL_275,0.6382,0.0
AL_205,AL_292,0.6381,0.0
AL_200,AL_293,0.6381,0.0
AL_227,AL_293,0.6381,0.0
AL_205,AL_256,0.6381,0.0
AL_240,AL_293,0.6381,0.0
AL_205,AL_244,0.6381,0.0
AL_197,AL_205,0.6381,0.0
AL_191,AL_205,0.6381,0.0
AL_205,AL_284,0.6381,0.0
AL_205,AL_233,0.6381,0.0
AL_195,AL_205,0.6381,0.0
AL_269,AL_293,0.6381,0.0
AL_205,AL_280,0.6381,0.0
AL_204,AL_293,0.6381,0.0
AL_205,AL_208,0.6381,0.0
AL_205,AL_272,0.6381,0.0
AL_205,AL_212,0.6381,0.0
AL_205,AL_220,0.6381,0.0
AL_205,AL_231,0.6381,0.0
AL_205,AL_248,0.6381,0.0
AL_205,AL_263,0.6381,0.0
AL_76,AL_130,0.6381,0.0
AL_205,AL_236,0.6381,0.0
AL_267,AL_293,0.6381,0.0
AL_205,AL_276,0.6381,0.0
AL_88,AL_239,0.6381,0.0
AL_91,AL_275,0.638,0.0
AL_241,AL_291,0.638,0.0
AL_151,AL_302,0.638,0.0
AL_76,AL_239,0.6379,0.0
AL_106,AL_298,0.6379,0.0
AL_206,AL_230,0.6379,0.0
AL_187,AL_211,0.6379,0.0
AL_91,AL_181,0.6378,0.0
AL_187,AL_262,0.6378,0.0
AL_206,AL_224,0.6378,0.0
AL_74,AL_184,0.6378,0.0
AL_91,AL_145,0.6377,0.0
AL_136,AL_323,0.6377,0.0
AL_91,AL_148,0.6377,0.0
AL_239,AL_282,0.6377,0.0
AL_206,AL_247,0.6377,0.0
AL_226,AL_268,0.6377,0.0
AL_88,AL_139,0.6377,0.0
AL_194,AL_196,0.6376,0.0
AL_211,AL_286,0.6376,0.0
AL_255,AL_259,0.6376,0.0
AL_219,AL_268,0.6375,0.0
AL_224,AL_234,0.6375,0.0
AL_97,AL_291,0.6375,0.0
AL_97,AL_224,0.6375,0.0
AL_283,AL_286,0.6375,0.0
AL_187,AL_226,0.6375,0.0
AL_103,AL_302,0.6374,0.0
AL_200,AL_249,0.6374,0.0
AL_204,AL_249,0.6374,0.0
AL_227,AL_249,0.6374,0.0
AL_290,AL_291,0.6374,0.0
AL_240,AL_249,0.6374,0.0
AL_249,AL_269,0.6374,0.0
AL_91,AL_271,0.6374,0.0
AL_79,AL_133,0.6374,0.0
AL_249,AL_267,0.6374,0.0
AL_118,AL_315,0.6374,0.0
AL_244,AL_254,0.6373,0.0
AL_254,AL_276,0.6373,0.0
AL_254,AL_271,0.6373,0.0
AL_254,AL_272,0.6373,0.0
AL_233,AL_254,0.6373,0.0
AL_197,AL_254,0.6373,0.0
AL_236,AL_254,0.6373,0.0
AL_254,AL_284,0.6373,0.0
AL_157,AL_323,0.6373,0.0
AL_220,AL_254,0.6373,0.0
AL_254,AL_292,0.6373,0.0
AL_186,AL_323,0.6373,0.0
AL_208,AL_254,0.6373,0.0
AL_248,AL_254,0.6373,0.0
AL_254,AL_256,0.6373,0.0
AL_195,AL_254,0.6373,0.0
AL_212,AL_254,0.6373,0.0
AL_231,AL_254,0.6373,0.0
AL_254,AL_280,0.6373,0.0
AL_254,AL_263,0.6373,0.0
AL_191,AL_254,0.6373,0.0
AL_94,AL_169,0.6372,0.0
AL_85,AL_243,0.6372,0.0
AL_189,AL_190,0.6372,0.0
AL_95,AL_184,0.6372,0.0
AL_237,AL_260,0.6372,0.0
AL_187,AL_203,0.6372,0.0
AL_145,AL_315,0.6371,0.0
AL_199,AL_250,0.637,0.0
AL_97,AL_145,0.637,0.0
AL_139,AL_302,0.637,0.0
AL_235,AL_250,0.637,0.0
AL_88,AL_118,0.637,0.0
AL_97,AL_151,0.637,0.0
AL_97,AL_219,0.6369,0.0
AL_187,AL_190,0.6369,0.0
AL_211,AL_259,0.6368,0.0
AL_202,AL_227,0.6368,0.0
AL_202,AL_240,0.6368,0.0
AL_202,AL_269,0.6368,0.0
AL_202,AL_204,0.6368,0.0
AL_97,AL_283,0.6368,0.0
AL_200,AL_202,0.6368,0.0
AL_282,AL_288,0.6368,0.0
AL_202,AL_267,0.6368,0.0
AL_224,AL_286,0.6368,0.0
AL_76,AL_154,0.6368,0.0
AL_88,AL_207,0.6368,0.0
AL_205,AL_269,0.6367,0.0
AL_200,AL_205,0.6367,0.0
AL_205,AL_227,0.6367,0.0
AL_205,AL_267,0.6367,0.0
AL_70,AL_185,0.6367,0.0
AL_204,AL_205,0.6367,0.0
AL_76,AL_279,0.6367,0.0
AL_205,AL_240,0.6367,0.0
AL_88,AL_148,0.6367,0.0
AL_276,AL_290,0.6366,0.0
AL_220,AL_229,0.6366,0.0
AL_208,AL_290,0.6366,0.0
AL_197,AL_290,0.6366,0.0
AL_231,AL_290,0.6366,0.0
AL_220,AL_290,0.6366,0.0
AL_195,AL_290,0.6366,0.0
AL_229,AL_231,0.6366,0.0
AL_195,AL_229,0.6366,0.0
AL_229,AL_233,0.6366,0.0
AL_229,AL_236,0.6366,0.0
AL_290,AL_292,0.6366,0.0
AL_212,AL_229,0.6366,0.0
AL_248,AL_290,0.6366,0.0
AL_229,AL_276,0.6366,0.0
AL_272,AL_290,0.6366,0.0
AL_47,AL_186,0.6366,0.0
AL_236,AL_290,0.6366,0.0
AL_263,AL_290,0.6366,0.0
AL_197,AL_229,0.6366,0.0
AL_191,AL_290,0.6366,0.0
AL_191,AL_229,0.6366,0.0
AL_284,AL_290,0.6366,0.0
AL_212,AL_290,0.6366,0.0
AL_229,AL_292,0.6366,0.0
AL_229,AL_284,0.6366,0.0
AL_229,AL_280,0.6366,0.0
AL_233,AL_290,0.6366,0.0
AL_256,AL_290,0.6366,0.0
AL_229,AL_272,0.6366,0.0
AL_244,AL_290,0.6366,0.0
AL_280,AL_290,0.6366,0.0
AL_229,AL_248,0.6366,0.0
AL_249,AL_266,0.6366,0.0
AL_229,AL_263,0.6366,0.0
AL_229,AL_256,0.6366,0.0
AL_208,AL_229,0.6366,0.0
AL_229,AL_244,0.6366,0.0
AL_112,AL_315,0.6365,0.0
AL_255,AL_286,0.6365,0.0
AL_210,AL_235,0.6365,0.0
AL_196,AL_256,0.6364,0.0
AL_196,AL_263,0.6364,0.0
AL_195,AL_196,0.6364,0.0
AL_196,AL_276,0.6364,0.0
AL_191,AL_196,0.6364,0.0
AL_196,AL_236,0.6364,0.0
AL_196,AL_248,0.6364,0.0
AL_196,AL_272,0.6364,0.0
AL_196,AL_292,0.6364,0.0
AL_196,AL_280,0.6364,0.0
AL_196,AL_233,0.6364,0.0
AL_196,AL_284,0.6364,0.0
AL_196,AL_244,0.6364,0.0
AL_196,AL_208,0.6364,0.0
AL_251,AL_274,0.6364,0.0
AL_196,AL_212,0.6364,0.0
AL_196,AL_197,0.6364,0.0
AL_196,AL_220,0.6364,0.0
AL_196,AL_231,0.6364,0.0
AL_191,AL_202,0.6363,0.0
AL_202,AL_272,0.6363,0.0
AL_124,AL_302,0.6363,0.0
AL_202,AL_256,0.6363,0.0
AL_195,AL_202,0.6363,0.0
AL_202,AL_233,0.6363,0.0
AL_202,AL_292,0.6363,0.0
AL_202,AL_276,0.6363,0.0
AL_76,AL_115,0.6363,0.0
AL_202,AL_212,0.6363,0.0
AL_202,AL_280,0.6363,0.0
AL_202,AL_263,0.6363,0.0
AL_202,AL_220,0.6363,0.0
AL_202,AL_231,0.6363,0.0
AL_202,AL_284,0.6363,0.0
AL_202,AL_236,0.6363,0.0
AL_202,AL_208,0.6363,0.0
AL_202,AL_244,0.6363,0.0
AL_197,AL_202,0.6363,0.0
AL_255,AL_278,0.6363,0.0
AL_202,AL_248,0.6363,0.0
AL_262,AL_278,0.6362,0.0
AL_237,AL_262,0.6362,0.0
AL_193,AL_251,0.6362,0.0
AL_194,AL_270,0.6361,0.0
AL_203,AL_206,0.6361,0.0
AL_270,AL_271,0.6361,0.0
AL_188,AL_259,0.6361,0.0
AL_207,AL_221,0.6361,0.0
AL_210,AL_226,0.6361,0.0
AL_224,AL_237,0.6361,0.0
AL_191,AL_285,0.636,0.0
AL_256,AL_285,0.636,0.0
AL_272,AL_285,0.636,0.0
AL_263,AL_285,0.636,0.0
AL_220,AL_285,0.636,0.0
AL_236,AL_285,0.636,0.0
AL_280,AL_285,0.636,0.0
AL_285,AL_292,0.636,0.0
AL_212,AL_285,0.636,0.0
AL_233,AL_285,0.636,0.0
AL_276,AL_285,0.636,0.0
AL_231,AL_285,0.636,0.0
AL_197,AL_285,0.636,0.0
AL_248,AL_285,0.636,0.0
AL_208,AL_285,0.636,0.0
AL_195,AL_285,0.636,0.0
AL_97,AL_172,0.636,0.0
AL_97,AL_194,0.636,0.0
AL_284,AL_285,0.636,0.0
AL_154,AL_302,0.636,0.0
AL_244,AL_285,0.636,0.0
AL_240,AL_254,0.6359,0.0
AL_198,AL_255,0.6359,0.0
AL_204,AL_254,0.6359,0.0
AL_227,AL_254,0.6359,0.0
AL_219,AL_221,0.6359,0.0
AL_254,AL_267,0.6359,0.0
AL_254,AL_269,0.6359,0.0
AL_250,AL_275,0.6359,0.0
AL_76,AL_118,0.6359,0.0
AL_234,AL_252,0.6359,0.0
AL_200,AL_254,0.6359,0.0
AL_190,AL_221,0.6358,0.0
AL_239,AL_259,0.6358,0.0
AL_234,AL_239,0.6358,0.0
AL_230,AL_270,0.6358,0.0
AL_226,AL_237,0.6358,0.0
AL_204,AL_225,0.6357,0.0
AL_200,AL_225,0.6357,0.0
AL_225,AL_269,0.6357,0.0
AL_225,AL_267,0.6357,0.0
AL_225,AL_227,0.6357,0.0
AL_157,AL_319,0.6357,0.0
AL_225,AL_240,0.6357,0.0
AL_234,AL_262,0.6356,0.0
AL_230,AL_286,0.6356,0.0
AL_222,AL_230,0.6356,0.0
AL_59,AL_184,0.6355,0.0
AL_94,AL_133,0.6355,0.0
AL_41,AL_186,0.6355,0.0
AL_187,AL_188,0.6355,0.0
AL_52,AL_184,0.6355,0.0
AL_210,AL_211,0.6354,0.0
AL_85,AL_172,0.6354,0.0
AL_85,AL_199,0.6354,0.0
AL_259,AL_275,0.6354,0.0
AL_241,AL_255,0.6354,0.0
AL_85,AL_136,0.6354,0.0
AL_88,AL_127,0.6354,0.0
AL_79,AL_100,0.6354,0.0
AL_92,AL_184,0.6354,0.0
AL_85,AL_271,0.6353,0.0
AL_185,AL_215,0.6353,0.0
AL_200,AL_290,0.6353,0.0
AL_229,AL_267,0.6353,0.0
AL_227,AL_290,0.6353,0.0
AL_204,AL_229,0.6353,0.0
AL_229,AL_269,0.6353,0.0
AL_190,AL_225,0.6353,0.0
AL_227,AL_229,0.6353,0.0
AL_200,AL_229,0.6353,0.0
AL_204,AL_290,0.6353,0.0
AL_89,AL_184,0.6353,0.0
AL_97,AL_124,0.6353,0.0
AL_229,AL_240,0.6353,0.0
AL_240,AL_290,0.6353,0.0
AL_267,AL_290,0.6353,0.0
AL_269,AL_290,0.6353,0.0
AL_94,AL_100,0.6353,0.0
AL_239,AL_268,0.6353,0.0
AL_225,AL_233,0.6352,0.0
AL_241,AL_260,0.6352,0.0
AL_225,AL_248,0.6352,0.0
AL_97,AL_243,0.6352,0.0
AL_225,AL_272,0.6352,0.0
AL_85,AL_190,0.6352,0.0
AL_234,AL_251,0.6352,0.0
AL_197,AL_225,0.6352,0.0
AL_225,AL_256,0.6352,0.0
AL_225,AL_284,0.6352,0.0
AL_225,AL_263,0.6352,0.0
AL_225,AL_280,0.6352,0.0
AL_225,AL_244,0.6352,0.0
AL_225,AL_276,0.6352,0.0
AL_225,AL_292,0.6352,0.0
AL_212,AL_225,0.6352,0.0
AL_208,AL_225,0.6352,0.0
AL_220,AL_225,0.6352,0.0
AL_191,AL_225,0.6352,0.0
AL_243,AL_268,0.6352,0.0
AL_189,AL_247,0.6352,0.0
AL_225,AL_236,0.6352,0.0
AL_195,AL_225,0.6352,0.0
AL_225,AL_231,0.6352,0.0
AL_76,AL_139,0.6351,0.0
AL_243,AL_270,0.6351,0.0
AL_226,AL_270,0.6351,0.0
AL_206,AL_239,0.6351,0.0
AL_160,AL_302,0.6351,0.0
AL_196,AL_227,0.635,0.0
AL_196,AL_267,0.635,0.0
AL_196,AL_240,0.635,0.0
AL_187,AL_255,0.635,0.0
AL_196,AL_204,0.635,0.0
AL_196,AL_200,0.635,0.0
AL_196,AL_269,0.635,0.0
AL_282,AL_287,0.6349,0.0
AL_181,AL_323,0.6349,0.0
AL_85,AL_279,0.6349,0.0
AL_148,AL_302,0.6349,0.0
AL_198,AL_224,0.6349,0.0
AL_211,AL_234,0.6348,0.0
AL_228,AL_247,0.6348,0.0
AL_85,AL_230,0.6348,0.0
AL_91,AL_279,0.6348,0.0
AL_97,AL_160,0.6348,0.0
AL_91,AL_100,0.6348,0.0
AL_85,AL_239,0.6347,0.0
AL_76,AL_86,0.6347,0.0
AL_203,AL_210,0.6347,0.0
AL_85,AL_154,0.6347,0.0
AL_200,AL_285,0.6346,0.0
AL_204,AL_285,0.6346,0.0
AL_227,AL_285,0.6346,0.0
AL_240,AL_285,0.6346,0.0
AL_269,AL_285,0.6346,0.0
AL_267,AL_285,0.6346,0.0
