ozellik_1,ozellik_2,korelasyon
AL_38,AL_118,0.9554182286405124
AL_14,AL_215,0.9553832020699925
AL_26,AL_34,0.9553777749921171
AL_32,AL_94,0.9553703657788649
AL_22,AL_38,0.9553671390275583
AL_34,AL_52,0.9553546446702204
AL_88,AL_247,0.9553533025731651
AL_34,AL_139,0.9553114147751265
AL_22,AL_207,0.9552924627893344
AL_32,AL_188,0.9552880314321989
AL_16,AL_139,0.9551118936147813
AL_6,AL_172,0.955016297008276
AL_1,AL_34,0.9549101854789802
AL_61,AL_283,0.9548436121482025
AL_3,AL_239,0.9547973245690116
AL_24,AL_133,0.9547399712295451
AL_32,AL_271,0.9547200506139734
AL_4,AL_181,0.9544805343126255
AL_5,AL_302,0.9544515314084823
AL_34,AL_224,0.9544206616121123
AL_34,AL_169,0.9544201010847083
AL_1,AL_18,0.9544059751498258
AL_36,AL_271,0.9543647697048968
AL_58,AL_251,0.954345396271045
AL_10,AL_28,0.9543205083949097
AL_32,AL_154,0.9543136949336389
AL_16,AL_18,0.954277717878989
AL_3,AL_12,0.9542514269195694
AL_36,AL_169,0.9542345043523816
AL_16,AL_188,0.9541694662403288
AL_215,AL_311,0.9541422862517068
AL_34,AL_36,0.9540908577463011
AL_1,AL_239,0.9540393353566465
AL_21,AL_36,0.9539443412250329
AL_34,AL_275,0.9539012960278426
AL_13,AL_20,0.9538580651069506
AL_34,AL_166,0.9538503633297204
AL_32,AL_186,0.9537741688121915
AL_21,AL_34,0.9536178090141159
AL_34,AL_327,0.9535950239431267
AL_6,AL_118,0.9535840681665357
AL_32,AL_115,0.9535747223842713
AL_32,AL_38,0.9535120981638382
AL_5,AL_186,0.9534435174400105
AL_6,AL_255,0.9534344704822582
AL_5,AL_15,0.9534287492286393
AL_34,AL_82,0.9534198566785106
AL_32,AL_260,0.9533900224258254
AL_24,AL_130,0.953344908234006
AL_22,AL_133,0.9533417724553768
AL_73,AL_211,0.9533098727887728
AL_1,AL_169,0.9531833596448684
AL_13,AL_23,0.9531254651626957
AL_1,AL_255,0.9530535767080036
AL_6,AL_151,0.9530473293954137
AL_16,AL_19,0.9530397898956142
AL_24,AL_283,0.953019738705387
AL_82,AL_319,0.9529387799948635
AL_1,AL_142,0.9528875394309466
AL_28,AL_302,0.9528784282240081
AL_3,AL_106,0.9528487890394867
AL_23,AL_211,0.9528163189297856
AL_34,AL_260,0.9527509076733032
AL_16,AL_55,0.952749524194759
AL_16,AL_91,0.9527363181908499
AL_194,AL_311,0.9527190399552115
AL_30,AL_100,0.9526549109983182
AL_19,AL_215,0.9526538663678468
AL_16,AL_287,0.9526300689270764
AL_3,AL_169,0.9525812862665517
AL_5,AL_94,0.9525364997125773
AL_109,AL_243,0.9525294483995456
AL_22,AL_130,0.9524227334927333
AL_215,AL_291,0.9523968738484523
AL_7,AL_211,0.9523870279954695
AL_32,AL_230,0.952345604057422
AL_22,AL_311,0.9523269522980898
AL_243,AL_247,0.9523203430000592
AL_283,AL_319,0.9522975033670614
AL_38,AL_291,0.9521848084908636
AL_38,AL_172,0.9521716839814258
AL_9,AL_211,0.9521085059422778
AL_6,AL_160,0.9520793031649989
AL_14,AL_251,0.9520341331262776
AL_1,AL_230,0.9520264201105774
AL_3,AL_186,0.9519196656662571
AL_22,AL_34,0.9518977099147481
AL_82,AL_207,0.9518866151668602
AL_24,AL_215,0.9518515057138726
AL_55,AL_211,0.9518323762719902
AL_109,AL_211,0.9518043109673034
AL_34,AL_61,0.9517920045332514
AL_64,AL_283,0.9517852020816621
AL_34,AL_55,0.9516270626621732
AL_4,AL_85,0.9516108570167572
AL_34,AL_311,0.9515597812228448
AL_38,AL_139,0.9514385056143941
AL_4,AL_10,0.9513676955833648
AL_28,AL_255,0.951319542394532
AL_6,AL_306,0.9513061928404524
AL_34,AL_178,0.9512888041551258
AL_34,AL_247,0.9512538444419354
AL_5,AL_6,0.9512262419604325
AL_3,AL_243,0.9512193069006852
AL_20,AL_266,0.9511986915367683
AL_20,AL_283,0.9511945856288619
AL_3,AL_142,0.9511649593584047
AL_34,AL_151,0.9511304125699465
AL_24,AL_207,0.9510907915845851
AL_22,AL_145,0.9510448447608743
AL_64,AL_211,0.9509626041910267
AL_28,AL_38,0.9509516482174191
AL_160,AL_224,0.950931849423466
AL_28,AL_85,0.9509189707571715
AL_5,AL_21,0.9508043720049862
AL_23,AL_283,0.9507848048436348
AL_88,AL_235,0.9507246308870725
AL_133,AL_247,0.9507112799058728
AL_3,AL_230,0.9507052749590202
AL_23,AL_311,0.9506863332382374
AL_34,AL_112,0.9506229861477651
AL_139,AL_211,0.95060043346969
AL_34,AL_194,0.9505018634141409
AL_6,AL_16,0.9504981401681637
AL_13,AL_215,0.9504909605657497
AL_22,AL_224,0.950482363074252
AL_4,AL_21,0.950448659739906
AL_18,AL_194,0.9503839236470544
AL_22,AL_251,0.950368207476778
AL_23,AL_61,0.9502830658417776
AL_1,AL_296,0.9502766688617681
AL_211,AL_215,0.9502736695258895
AL_34,AL_49,0.9502472463080338
AL_251,AL_327,0.950217593740891
AL_26,AL_38,0.9502065917657098
AL_36,AL_94,0.950197430720986
AL_4,AL_67,0.9501503897872505
AL_4,AL_302,0.9500918265164694
AL_16,AL_20,0.9500488393401858
AL_38,AL_255,0.950003236826711
